granule_id,area
1,775.0
2,425.0
3,880.0
4,198.0
5,225.0
6,97.0
7,18.0
8,1060.0
9,15.0
10,33.0
11,23.0
12,621.0
13,67.0
14,143.0
15,80.0
16,801.0
17,772.0
18,139.0
19,15.0
20,585.0
21,127.0
22,220.0
23,136.0
24,216.0
25,598.0
26,212.0
27,17.0
28,165.0
29,1121.0
30,114.0
31,31.0
32,1167.0
33,467.0
34,60.0
35,56.0
36,60.0
37,214.0
38,515.0
39,1450.0
40,39.0
41,16.0
42,137.0
43,10.0
44,156.0
45,52.0
46,59.0
47,79.0
48,754.0
49,266.0
50,237.0
51,16.0
52,893.0
53,994.0
54,84.0
55,262.0
56,354.0
57,37.0
58,12.0
59,1509.0
60,10.0
61,151.0
62,189.0
63,2061.0
64,516.0
65,341.0
66,28.0
67,34.0
68,63.0
69,340.0
70,85.0
71,13.0
72,186.0
73,117.0
74,124.0
75,217.0
76,54.0
77,58.0
78,852.0
79,44.0
80,279.0
81,304.0
82,245.0
83,70.0
84,1480.0
85,278.0
86,147.0
87,135.0
88,468.0
89,103.0
90,17.0
91,112.0
92,270.0
93,14.0
94,10.0
95,56.0
96,48.0
97,169.0
98,137.0
99,60.0
100,262.0
101,679.0
102,195.0
103,24.0
104,336.0
105,114.0
106,1192.0
107,144.0
108,119.0
109,99.0
110,671.0
111,32.0
112,113.0
113,610.0
114,66.0
115,331.0
116,708.0
117,242.0
118,71.0
119,55.0
120,197.0
121,108.0
122,222.0
123,607.0
124,290.0
125,132.0
126,78.0
127,29.0
128,1729.0
129,118.0
130,92.0
131,98.0
132,32.0
133,13.0
134,114.0
135,49.0
136,46.0
137,59.0
138,94.0
139,563.0
140,17.0
141,1023.0
142,352.0
143,47.0
144,27.0
145,425.0
146,534.0
147,58.0
148,134.0
149,77.0
150,20.0
151,748.0
152,25.0
153,590.0
154,237.0
155,110.0
156,12.0
157,19.0
158,434.0
159,10.0
160,1584.0
161,52.0
162,158.0
163,22.0
164,67.0
165,16.0
166,88.0
167,591.0
168,346.0
169,52.0
170,46.0
171,91.0
172,196.0
173,33.0
174,77.0
175,66.0
176,39.0
177,31.0
178,819.0
179,256.0
180,29.0
181,105.0
182,248.0
183,62.0
184,139.0
185,811.0
186,123.0
187,468.0
188,96.0
189,116.0
190,114.0
191,1589.0
192,171.0
193,415.0
194,62.0
195,58.0
196,107.0
197,339.0
198,59.0
199,234.0
200,584.0
201,74.0
202,328.0
203,182.0
204,219.0
205,278.0
206,67.0
207,160.0
208,770.0
209,498.0
210,395.0
211,468.0
212,65.0
213,230.0
214,86.0
215,17.0
216,267.0
217,88.0
218,103.0
219,79.0
220,37.0
221,21.0
222,23.0
223,249.0
224,50.0
225,52.0
226,93.0
227,36.0
228,62.0
229,104.0
230,245.0
231,303.0
232,79.0
233,162.0
234,36.0
235,1239.0
236,482.0
237,129.0
238,57.0
239,115.0
240,66.0
241,245.0
242,14.0
243,118.0
244,2441.0
245,21.0
246,328.0
247,177.0
248,32.0
249,1670.0
250,160.0
251,1043.0
252,291.0
253,66.0
254,15.0
255,240.0
256,187.0
257,335.0
258,150.0
259,424.0
260,234.0
261,12.0
262,442.0
263,65.0
264,17.0
265,559.0
266,528.0
267,23.0
268,570.0
269,179.0
270,611.0
271,221.0
272,82.0
273,101.0
274,576.0
275,156.0
276,232.0
277,65.0
278,36.0
279,416.0
280,14.0
281,328.0
282,48.0
283,45.0
284,66.0
285,154.0
286,449.0
287,25.0
288,66.0
289,1269.0
290,172.0
291,99.0
292,314.0
293,509.0
294,586.0
295,487.0
296,69.0
297,43.0
298,312.0
299,158.0
300,59.0
301,11.0
302,58.0
303,44.0
304,25.0
305,96.0
306,58.0
307,591.0
308,793.0
309,120.0
310,697.0
311,638.0
312,106.0
313,135.0
314,218.0
315,447.0
316,311.0
317,207.0
318,30.0
319,21.0
320,181.0
